ts_code,name,industry,level,close,pct_chg,vol_ratio,turnover_rate,mv_亿,pe_ttm,xueqiu_url,update_date
600795.SH,国电电力,火力发电,🔥 创半年(120日)新高,5.4,3.2505,2.26,1.18,963.12,14.8,https://xueqiu.com/S/SH600795,2026-09-02
603976.SH,正川股份,医疗保健,🏆 创一年(250日)新高,32.45,3.2125,1.84,5.43,55.69,325.6,https://xueqiu.com/S/SH603976,2026-09-02
600405.SH,动力源,电气设备,⚡ 创60日新高,5.16,2.994,1.67,3.93,31.62,-,https://xueqiu.com/S/SH600405,2026-09-02
002790.SZ,瑞尔特,家居用品,⚡ 创60日新高,6.61,2.9595,1.8,3.76,17.23,-,https://xueqiu.com/S/SZ002790,2026-09-02
000985.SZ,大庆华科,化工原料,⚡ 创60日新高,17.5,2.8807,3.45,7.61,22.69,1048.9,https://xueqiu.com/S/SZ000985,2026-09-02
605177.SH,东亚药业,化学制药,⚡ 创60日新高,23.44,2.807,1.56,6.61,26.64,-,https://xueqiu.com/S/SH605177,2026-09-02
600547.SH,山东黄金,黄金,⚡ 创60日新高,37.89,2.7108,1.12,3.65,1369.51,31.9,https://xueqiu.com/S/SH600547,2026-09-02
603376.SH,大明电子,汽车配件,⚡ 创60日新高,29.24,2.6685,4.51,30.34,9.36,70.4,https://xueqiu.com/S/SH603376,2026-09-02
301122.SZ,采纳股份,医疗保健,🏆 创一年(250日)新高,41.22,2.5884,1.11,6.43,31.18,820.6,https://xueqiu.com/S/SZ301122,2026-09-02
301062.SZ,上海艾录,广告包装,⚡ 创60日新高,7.59,2.5676,1.13,2.88,20.89,-,https://xueqiu.com/S/SZ301062,2026-09-02
300741.SZ,华宝股份,食品,⚡ 创60日新高,15.38,2.5333,1.01,0.77,94.72,52.5,https://xueqiu.com/S/SZ300741,2026-09-02
920118.BJ,太湖远大,塑料,⚡ 创60日新高,21.87,2.5316,1.37,4.44,6.85,19.9,https://xueqiu.com/S/BJ920118,2026-09-02
300589.SZ,江龙船艇,船舶,⚡ 创60日新高,14.0,2.489,3.79,19.3,31.16,-,https://xueqiu.com/S/SZ300589,2026-09-02
603333.SH,福华尚纬,电气设备,🏆 创一年(250日)新高,10.31,2.4851,0.84,3.3,64.08,-,https://xueqiu.com/S/SH603333,2026-09-02
