ts_code,name,industry,close,amount,circ_mv
920717.BJ,瑞星股份,专用机械,6.88,4671.90432,30464.64
920706.BJ,铁拓机械,工程机械,15.54,39817.02047,74082.086
920703.BJ,广厦环能,专用机械,9.8,4299.24309,74739.8441
920701.BJ,豪声电子,元器件,11.52,24463.13081,115438.7405
920699.BJ,海达尔,家用电器,68.5,53634.82935,200194.127
920694.BJ,中裕科技,塑料,16.65,6099.38761,104007.1937
920693.BJ,阿为特,机械基件,23.92,16574.29824,87571.12
920690.BJ,捷众科技,汽车配件,15.65,10706.39822,87685.0783
920689.BJ,克莱特,专用机械,20.0,4652.47857,75861.234
920685.BJ,新芝生物,电器仪表,11.62,22828.16521,67760.8378
920682.BJ,球冠电缆,电气设备,5.89,10006.44109,133000.197
920679.BJ,前进科技,机械基件,15.63,3722.2256,57995.5058
920675.BJ,秉扬科技,矿物制品,7.59,6416.92341,59974.5633
920670.BJ,数字人,软件服务,12.9,14337.40086,85957.3543
920665.BJ,科强股份,橡胶,8.63,9228.8067,55388.2971
920663.BJ,明阳科技,汽车配件,12.63,5822.61704,80928.6448
920662.BJ,方盛股份,机械基件,19.23,17505.8805,51932.6957
920656.BJ,海昇药业,化学制药,15.05,6735.95217,122850.9858
920651.BJ,天罡股份,电器仪表,20.85,23146.29612,86459.4727
920642.BJ,通易航天,航空,10.15,16085.63234,101836.8562
920641.BJ,格利尔,元器件,13.43,13968.74764,60862.4944
920640.BJ,富士达,通信设备,26.16,58042.48796,472497.4885
920639.BJ,晨光电缆,电气设备,6.13,7449.43893,72795.9776
920634.BJ,新威凌,铅锌,16.14,7575.89376,65839.2774
920627.BJ,力王股份,电气设备,13.73,10068.46384,64280.4275
920608.BJ,丰安股份,机械基件,14.12,13004.10737,68085.0699
920599.BJ,同力股份,工程机械,17.18,37934.09002,602286.7264
920593.BJ,鼎智科技,机械基件,23.28,34482.49102,377496.3884
920592.BJ,华信永道,软件服务,28.92,248396.46221,145426.2762
920580.BJ,科创新材,其他建材,11.04,8736.09716,60458.4337
920579.BJ,机科股份,机械基件,14.12,6521.93155,62939.081
920578.BJ,巨能股份,专用机械,17.66,36373.5172,62694.7996
920576.BJ,天力复合,小金属,38.38,45813.33201,414005.6511
920575.BJ,*ST康乐,生物制药,5.18,20562.87291,97300.4362
920571.BJ,国航远洋,水运,9.57,212512.96639,283352.6292
920570.BJ,坤博精工,机械基件,24.95,11654.42001,63599.3364
920566.BJ,梓橦宫,化学制药,9.56,21495.96692,107403.3123
920564.BJ,天润科技,软件服务,14.1,22759.06496,69356.2588
920556.BJ,雅达股份,电器仪表,6.75,6533.2618,78556.4298
920553.BJ,凯腾精工,专用机械,6.96,6543.96583,65287.156
920547.BJ,无锡晶海,化学制药,19.21,15833.14239,72546.3729
920541.BJ,铁大科技,运输设备,9.59,4439.86902,86366.278
920533.BJ,骏创科技,汽车配件,16.83,44039.06663,123089.7948
920527.BJ,夜光明,纺织,15.8,10266.45259,73560.5293
920526.BJ,凯华材料,化工原料,20.11,37859.85248,105311.0143
920523.BJ,德瑞锂电,电气设备,14.72,8456.45516,118477.5632
920522.BJ,纳科诺尔,专用机械,17.42,60520.11416,317086.1912
